,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position,player
0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,456,0.0,0.0,10,0.0,0,0,0.0,456.0,0.0,0.0,2016-08-15T19:00:00Z,15 Aug 20:00,0.0,0.0,0,0.0,0.0,4,0,0.0,0,0,0.0,0,1,0,45667,0.0,0.0,0.0,1,2,0.0,0,0,0,0,50,False,0.0,0,,,,,,2,577
1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,456,0.0,0.0,20,0.0,0,0,0.0,981.0,0.0,0.0,2016-08-21T15:00:00Z,21 Aug 16:00,0.0,0.0,0,0.0,0.0,2,0,0.0,0,0,0.0,0,2,0,47478,0.0,0.0,0.0,0,1,0.0,0,-3436,1070,4506,50,True,0.0,0,,,,,,2,577
2,0,25.0,0.0,0.0,0,12,0,4.0,21.0,10.3,0.0,0.0,456,0.0,0.0,29,0.0,3,0,2.5,1521.0,14.6,1.0,2016-08-28T15:00:00Z,28 Aug 16:00,0.0,0.0,90,0.0,0.0,10,0,0.0,0,0,4.0,0,3,0,42144,0.0,1.0,0.0,1,3,0.0,1,-6473,287,6760,49,False,0.0,0,,,,,,2,577
3,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,456,0.0,0.0,38,0.0,0,0,0.0,2071.0,0.0,0.0,2016-09-10T14:00:00Z,10 Sep 15:00,0.0,0.0,0,0.0,0.0,18,0,0.0,0,0,0.0,0,4,0,40201,0.0,0.0,0.0,4,2,0.0,0,-2936,725,3661,49,True,0.0,0,,,,,,2,577
4,0,75.0,0.0,0.0,0,18,0,8.0,67.0,2.1,0.0,0.0,456,0.0,0.0,46,0.0,4,0,2.0,2652.0,17.4,0.0,2016-09-17T14:00:00Z,17 Sep 15:00,0.0,0.0,90,0.0,0.0,19,0,0.0,0,0,6.0,0,5,0,37742,0.0,1.0,0.0,2,4,0.0,0,-2762,193,2955,49,False,0.0,0,,,,,,2,577
5,0,44.0,0.0,0.0,0,21,0,16.0,36.0,11.4,0.0,0.0,456,0.0,0.0,59,0.0,3,0,5.2,3236.0,39.0,1.0,2016-09-25T15:00:00Z,25 Sep 16:00,0.0,0.0,90,0.0,0.0,13,0,0.0,0,0,7.0,0,6,0,35274,0.0,0.0,0.0,3,0,2.0,1,-2753,257,3010,48,True,0.0,0,,,,,,2,577
6,0,26.0,0.0,0.0,0,15,0,9.0,23.0,25.7,0.0,0.0,456,0.0,0.0,70,1.0,1,0,5.1,3822.0,23.6,2.0,2016-10-01T14:00:00Z,01 Oct 15:00,0.0,0.0,90,0.0,1.0,12,0,0.0,0,0,3.0,0,7,0,34169,2.0,2.0,0.0,1,1,2.0,2,-1322,369,1691,48,True,0.0,0,,,,,,2,577
7,0,28.0,0.0,0.0,0,14,1,6.0,23.0,0.8,0.0,0.0,456,0.0,0.0,74,2.0,0,0,0.6,4411.0,3.6,0.0,2016-10-15T16:30:00Z,15 Oct 17:30,0.0,0.0,90,0.0,0.0,5,0,1.0,0,0,3.0,0,8,0,33535,0.0,0.0,0.0,1,0,2.0,5,-943,232,1175,48,False,0.0,1,,,,,,2,577
8,0,46.0,0.0,0.0,2,31,1,11.0,38.0,1.3,0.0,0.0,456,0.0,0.0,90,0.0,0,0,2.0,5003.0,18.8,0.0,2016-10-22T14:00:00Z,22 Oct 15:00,0.0,0.0,90,0.0,0.0,15,0,0.0,0,0,7.0,0,9,0,35023,0.0,1.0,0.0,0,1,0.0,8,1108,1714,606,48,True,0.0,0,,,,,,2,577
9,0,46.0,0.0,0.0,0,17,0,7.0,39.0,11.1,0.0,0.0,456,0.0,0.0,92,1.0,2,0,3.4,5597.0,22.8,1.0,2016-10-30T13:30:00Z,30 Oct 13:30,0.0,0.0,90,0.0,0.0,6,0,0.0,0,0,4.0,0,10,0,35940,1.0,2.0,0.0,0,2,0.0,1,447,1084,637,48,False,0.0,0,,,,,,2,577
10,0,65.0,0.0,0.0,0,14,0,9.0,50.0,2.2,0.0,0.0,456,0.0,0.0,110,0.0,1,0,4.5,6195.0,24.0,0.0,2016-11-05T15:00:00Z,05 Nov 15:00,0.0,0.0,90,0.0,0.0,14,0,0.0,0,0,6.0,0,11,0,37153,0.0,0.0,0.0,1,1,19.0,2,709,1651,942,48,True,0.0,0,,,,,,2,577
