,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position,player
0,0,48.0,0.0,0.0,0,14,0,3.0,43.0,1.8,1.0,0.0,152,0.0,0.0,4,1.0,1,0,1.7,152.0,14.8,0.0,2016-08-13T11:30:00Z,13 Aug 12:30,0.0,0.0,90,0.0,0.0,8,0,0.0,0,0,7.0,0,1,0,32036,1.0,1.0,0.0,1,2,0.0,2,0,0,0,45,True,0.0,0,,,,,,2,401
1,0,35.0,0.0,0.0,1,28,1,7.0,30.0,11.1,0.0,0.0,152,0.0,0.0,15,0.0,0,0,3.1,677.0,18.0,1.0,2016-08-20T14:00:00Z,20 Aug 15:00,0.0,0.0,90,0.0,0.0,16,0,0.0,0,0,6.0,0,2,0,41091,2.0,1.0,0.0,2,0,2.0,7,1210,2563,1353,45,False,0.0,0,,,,,,2,401
2,0,37.0,0.0,0.0,0,14,0,9.0,31.0,1.9,2.0,0.0,152,0.0,0.0,24,0.0,1,0,2.1,1217.0,19.4,0.0,2016-08-27T16:30:00Z,27 Aug 17:30,0.0,0.0,90,0.0,0.0,11,0,0.0,0,0,3.0,0,3,0,55492,3.0,0.0,0.0,1,0,0.0,2,8621,12215,3594,45,True,0.0,0,,,,,,2,401
3,0,73.0,0.0,0.0,0,21,0,6.0,64.0,24.1,1.0,0.0,152,0.0,0.0,33,0.0,1,0,5.0,1767.0,24.6,2.0,2016-09-10T14:00:00Z,10 Sep 15:00,0.0,0.0,90,0.0,0.0,3,0,0.0,0,0,7.0,0,4,0,67378,2.0,3.0,1.0,1,1,1.0,2,8409,14602,6193,45,False,0.0,0,,,,,,2,401
4,0,41.0,0.0,0.0,0,11,0,1.0,32.0,6.3,1.0,0.0,152,0.0,0.0,43,1.0,4,0,2.2,2348.0,11.8,0.0,2016-09-17T14:00:00Z,17 Sep 15:00,0.0,0.0,90,0.0,1.0,1,0,0.0,0,0,1.0,0,5,0,71089,0.0,1.0,0.0,4,1,4.0,0,2464,5492,3028,45,True,0.0,0,,,,,,2,401
5,0,23.0,0.0,0.0,0,11,0,2.0,16.0,0.8,1.0,0.0,152,0.0,0.0,53,2.0,5,0,1.0,2932.0,9.0,0.0,2016-09-24T14:00:00Z,24 Sep 15:00,0.0,0.0,90,0.0,0.0,9,0,1.0,0,0,5.0,0,6,0,72679,1.0,4.0,0.0,1,5,0.0,0,846,6482,5636,45,False,0.0,0,,,,,,2,401
6,0,51.0,0.0,0.0,0,9,0,8.0,40.0,2.2,0.0,0.0,152,0.0,0.0,63,1.0,2,0,1.4,3518.0,12.0,0.0,2016-10-01T14:00:00Z,01 Oct 15:00,0.0,0.0,90,0.0,0.0,4,0,0.0,0,0,6.0,0,7,0,72082,1.0,0.0,0.0,2,0,0.0,0,-891,2852,3743,45,True,0.0,1,,,,,,2,401
7,0,38.0,0.0,0.0,0,7,0,4.0,30.0,6.2,1.0,0.0,152,0.0,0.0,72,2.0,3,0,1.8,4107.0,11.6,0.0,2016-10-15T14:00:00Z,15 Oct 15:00,0.0,0.0,62,0.0,1.0,2,0,0.0,0,0,3.0,0,8,0,72864,1.0,0.0,0.0,1,6,0.0,0,441,3610,3169,45,False,0.0,1,,,,,,2,401
8,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,152,0.0,0.0,85,0.0,0,0,0.0,4699.0,0.0,0.0,2016-10-22T14:00:00Z,22 Oct 15:00,0.0,0.0,0,0.0,0.0,14,0,0.0,0,0,0.0,0,9,0,57110,0.0,0.0,0.0,2,0,0.0,0,-15775,93,15868,45,True,0.0,0,,,,,,2,401
9,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,152,0.0,0.0,99,0.0,0,0,0.0,5293.0,0.0,0.0,2016-10-29T14:00:00Z,29 Oct 15:00,0.0,0.0,0,0.0,0.0,18,0,0.0,0,0,0.0,0,10,0,48294,0.0,0.0,0.0,0,1,0.0,0,-8822,11,8833,44,False,0.0,0,,,,,,2,401
10,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,152,0.0,0.0,105,0.0,0,0,0.0,5891.0,0.0,0.0,2016-11-06T14:15:00Z,06 Nov 14:15,0.0,0.0,0,0.0,0.0,13,0,0.0,0,0,0.0,0,11,0,42822,0.0,0.0,0.0,1,2,0.0,0,-5478,9,5487,44,True,0.0,0,,,,,,2,401
11,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,152,0.0,0.0,117,0.0,0,0,0.0,6490.0,0.0,0.0,2016-11-19T15:00:00Z,19 Nov 15:00,0.0,0.0,0,0.0,0.0,15,0,0.0,0,0,0.0,0,12,0,38992,0.0,0.0,0.0,0,3,0.0,0,-3848,38,3886,44,False,0.0,0,,,,,,2,401
12,0,1.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,152,0.0,0.0,124,0.0,0,0,0.0,7091.0,0.0,0.0,2016-11-26T15:00:00Z,26 Nov 15:00,0.0,0.0,1,0.0,0.0,19,0,0.0,0,0,0.0,0,13,0,37880,0.0,0.0,0.0,1,1,0.0,1,-1132,177,1309,43,True,0.0,0,,,,,,2,401
13,0,49.0,0.0,0.0,0,10,0,4.0,32.0,1.4,2.0,0.0,152,0.0,0.0,135,0.0,1,0,1.6,7695.0,15.0,0.0,2016-12-05T20:00:00Z,05 Dec 20:00,0.0,0.0,90,0.0,0.0,12,0,0.0,0,0,6.0,0,14,0,37769,4.0,1.0,0.0,0,1,0.0,2,-166,341,507,43,False,0.0,0,,,,,,2,401
14,0,31.0,0.0,0.0,0,17,0,2.0,22.0,29.3,0.0,0.0,152,0.0,0.0,144,0.0,3,0,6.5,8300.0,15.4,1.0,2016-12-10T15:00:00Z,10 Dec 15:00,0.0,0.0,90,0.0,4.0,5,0,0.0,0,0,6.0,0,15,0,37636,1.0,1.0,0.0,3,3,20.0,1,-190,359,549,43,True,0.0,0,,,,,,2,401
15,0,32.0,0.0,0.0,0,10,0,2.0,24.0,17.0,1.0,0.0,152,0.0,0.0,160,1.0,3,0,2.9,8910.0,10.4,1.0,2016-12-14T20:00:00Z,14 Dec 20:00,0.0,0.0,90,0.0,1.0,17,0,0.0,0,0,2.0,0,16,0,37465,1.0,0.0,0.0,0,3,2.0,1,-198,168,366,43,False,0.0,0,,,,,,2,401
16,0,34.0,0.0,0.0,0,16,0,5.0,22.0,13.4,0.0,0.0,152,0.0,0.0,170,0.0,1,0,5.0,9524.0,24.6,1.0,2016-12-17T15:00:00Z,17 Dec 15:00,0.0,0.0,90,0.0,0.0,20,0,0.0,0,0,6.0,0,17,0,37211,0.0,3.0,1.0,0,1,12.0,2,-317,209,526,43,False,0.0,0,,,,,,2,401
17,0,30.0,0.0,0.0,0,7,0,7.0,18.0,5.6,0.0,0.0,152,0.0,0.0,174,1.0,3,0,1.2,10140.0,6.4,0.0,2016-12-26T17:15:00Z,26 Dec 17:15,0.0,0.0,90,0.0,1.0,10,0,1.0,0,0,6.0,0,18,0,37407,3.0,1.0,0.0,3,0,0.0,1,21,650,629,43,True,0.0,0,,,,,,2,401
18,0,44.0,0.0,0.0,0,14,0,5.0,32.0,2.3,2.0,0.0,152,0.0,0.0,184,1.0,2,0,1.9,10758.0,14.4,0.0,2016-12-30T20:00:00Z,30 Dec 20:00,0.0,0.0,90,0.0,0.0,6,0,0.0,0,0,6.0,0,19,0,37614,1.0,1.0,0.0,2,2,2.0,1,75,637,562,43,True,0.0,0,,,,,,2,401
