assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,44.0,0.0,0.0,0,16,0,11.0,38.0,0.3,1.0,0.0,385,0.0,0.0,3,0.0,1,0,2.9,385.0,28.4,0.0,2016-08-13T14:00:00Z,13 Aug 15:00,0.0,0.0,90,0.0,0.0,6,0,0.0,0,0,0.0,0,1,0,72413,0.0,0.0,0.0,1,1,0.0,2,0,0,0,55,False,0.0,0
0,54.0,0.0,0.0,1,27,1,14.0,47.0,0.1,1.0,0.0,385,0.0,0.0,16,1.0,0,0,3.4,910.0,33.4,0.0,2016-08-20T14:00:00Z,20 Aug 15:00,0.0,0.0,90,0.0,0.0,5,0,0.0,0,0,2.0,0,2,0,101463,1.0,1.0,0.0,0,1,0.0,6,2681,5794,3113,55,True,0.0,1
0,52.0,0.0,0.0,0,9,0,8.0,37.0,0.2,0.0,0.0,385,0.0,0.0,27,2.0,1,0,1.8,1450.0,17.8,0.0,2016-08-27T11:30:00Z,27 Aug 12:30,0.0,0.0,90,0.0,0.0,9,0,0.0,0,0,2.0,0,3,0,120042,0.0,1.0,0.0,1,1,0.0,1,4243,9525,5282,55,True,0.0,1
0,53.0,0.0,0.0,0,30,1,12.0,46.0,0.6,0.0,0.0,385,0.0,0.0,37,1.0,0,0,4.0,2000.0,39.2,0.0,2016-09-10T14:00:00Z,10 Sep 15:00,0.0,0.0,90,0.0,0.0,14,0,0.0,0,0,10.0,0,4,0,128424,0.0,0.0,0.0,4,0,0.0,6,1808,10260,8452,55,False,0.0,0
0,59.0,0.0,0.0,1,32,1,11.0,53.0,3.4,1.0,0.0,385,0.0,0.0,49,0.0,0,0,3.2,2581.0,29.0,0.0,2016-09-18T15:30:00Z,18 Sep 16:30,0.0,0.0,90,0.0,0.0,15,0,0.0,0,0,4.0,0,5,0,143755,1.0,2.0,0.0,0,1,0.0,7,10997,14368,3371,55,True,0.0,0
0,51.0,0.0,0.0,0,14,0,5.0,41.0,0.5,2.0,0.0,385,0.0,0.0,55,0.0,1,0,1.6,3165.0,15.0,0.0,2016-09-24T14:00:00Z,24 Sep 15:00,0.0,0.0,90,0.0,0.0,12,0,0.0,0,0,3.0,0,6,0,194129,1.0,0.0,0.0,2,1,0.0,2,42472,50133,7661,55,False,0.0,0
0,29.0,0.0,0.0,0,29,1,12.0,20.0,0.5,0.0,0.0,385,0.0,0.0,68,0.0,0,0,3.2,3751.0,31.6,0.0,2016-10-02T13:15:00Z,02 Oct 14:15,0.0,0.0,90,0.0,0.0,10,0,0.0,0,0,3.0,0,7,0,211133,0.0,2.0,0.0,0,2,0.0,6,12165,23053,10888,55,True,0.0,0
0,74.0,0.0,0.0,0,15,0,15.0,69.0,0.8,0.0,0.0,385,0.0,0.0,80,1.0,1,0,2.5,4340.0,24.0,0.0,2016-10-15T14:00:00Z,15 Oct 15:00,0.0,0.0,90,0.0,0.0,19,0,0.0,0,0,2.0,0,8,0,279375,0.0,0.0,0.0,1,1,0.0,1,60400,65868,5468,56,False,0.0,1
0,51.0,0.0,0.0,0,28,1,13.0,46.0,0.6,0.0,0.0,385,0.0,0.0,82,1.0,0,0,3.1,4932.0,28.6,0.0,2016-10-22T11:30:00Z,22 Oct 12:30,0.0,0.0,90,0.0,0.0,2,0,0.0,0,0,7.0,0,9,0,310693,0.0,0.0,0.0,0,0,2.0,5,27398,34213,6815,56,False,0.0,1
0,73.0,0.0,0.0,0,14,0,17.0,63.0,0.8,0.0,0.0,385,0.0,0.0,98,2.0,1,0,6.0,5526.0,34.2,0.0,2016-10-29T14:00:00Z,29 Oct 15:00,0.0,0.0,90,0.0,0.0,8,0,0.0,0,0,2.0,0,10,0,331578,0.0,0.0,2.0,1,1,25.0,2,17488,23099,5611,57,True,0.0,0
0,59.0,0.0,0.0,0,17,0,6.0,49.0,1.2,0.0,0.0,385,0.0,0.0,101,0.0,1,0,2.4,6124.0,22.6,0.0,2016-11-06T12:00:00Z,06 Nov 12:00,0.0,0.0,90,0.0,0.0,1,0,0.0,0,0,5.0,0,11,0,329258,1.0,2.0,0.0,1,1,0.0,2,-5315,11979,17294,57,False,0.0,0
0,90.0,0.0,0.0,0,20,0,9.0,85.0,1.6,0.0,0.0,385,0.0,0.0,118,0.0,2,0,3.0,6723.0,28.6,0.0,2016-11-19T17:30:00Z,19 Nov 17:30,0.0,0.0,90,0.0,0.0,20,0,0.0,0,0,8.0,0,12,0,356012,0.0,1.0,0.0,2,3,0.0,1,20735,31022,10287,57,True,0.0,0
0,50.0,0.0,0.0,0,17,0,10.0,41.0,0.6,1.0,0.0,385,0.0,0.0,123,1.0,2,0,2.1,7324.0,20.4,0.0,2016-11-26T17:30:00Z,26 Nov 17:30,0.0,0.0,90,0.0,0.0,4,0,0.0,0,0,7.0,0,13,0,346579,0.0,0.0,0.0,1,2,0.0,1,-11235,6553,17788,57,False,0.0,0
0,77.0,0.0,0.0,0,28,1,11.0,67.0,0.8,0.0,0.0,385,0.0,0.0,138,1.0,0,0,2.6,7928.0,25.6,0.0,2016-12-03T15:00:00Z,03 Dec 15:00,0.0,0.0,90,0.0,0.0,16,0,0.0,0,0,6.0,0,14,0,352343,0.0,0.0,0.0,0,5,0.0,6,4005,12730,8725,57,True,0.0,0
0,38.0,0.0,0.0,0,11,0,7.0,28.0,0.1,0.0,0.0,385,0.0,0.0,149,1.0,1,0,1.6,8533.0,16.2,0.0,2016-12-11T14:15:00Z,11 Dec 14:15,0.0,0.0,90,0.0,0.0,11,0,0.0,0,0,5.0,0,15,0,361047,0.0,0.0,0.0,0,1,0.0,2,6023,14753,8730,57,False,0.0,0
0,85.0,0.0,0.0,0,32,1,6.0,70.0,1.2,3.0,0.0,385,0.0,0.0,160,1.0,0,0,5.1,9143.0,19.6,0.0,2016-12-14T20:00:00Z,14 Dec 20:00,0.0,0.0,90,0.0,0.0,7,0,0.0,0,0,14.0,0,16,0,378019,1.0,1.0,0.0,0,3,30.0,6,15568,20675,5107,57,True,0.0,0
0,43.0,0.0,0.0,0,26,0,26.0,32.0,0.5,1.0,0.0,385,0.0,0.0,168,0.0,1,0,5.3,9757.0,52.0,0.0,2016-12-18T16:00:00Z,18 Dec 16:00,0.0,0.0,90,0.0,0.0,3,0,0.0,0,0,8.0,0,17,0,387891,0.0,1.0,0.0,1,2,0.0,2,8574,14037,5463,57,True,0.0,0
0,68.0,0.0,0.0,0,16,0,12.0,59.0,1.2,0.0,0.0,385,0.0,0.0,178,1.0,1,0,3.0,10373.0,28.6,0.0,2016-12-28T19:45:00Z,28 Dec 19:45,0.0,0.0,90,0.0,0.0,13,0,0.0,0,0,5.0,0,18,0,378162,1.0,2.0,0.0,4,1,0.0,1,-11360,4182,15542,57,False,0.0,1
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,385,0.0,0.0,190,0.0,0,0,0.0,10991.0,0.0,0.0,2017-01-01T13:30:00Z,01 Jan 13:30,0.0,0.0,0,0.0,0.0,18,0,0.0,0,0,0.0,0,19,0,310681,0.0,0.0,0.0,4,1,0.0,0,-68011,1349,69360,57,False,0.0,0
0,59.0,0.0,0.0,1,32,1,7.0,43.0,11.2,1.0,0.0,385,0.0,0.0,198,1.0,0,0,3.2,11613.0,18.8,1.0,2017-01-04T20:00:00Z,04 Jan 20:00,0.0,0.0,90,0.0,0.0,4,0,0.0,0,0,6.0,0,20,0,290180,0.0,3.0,0.0,0,2,2.0,7,-20784,3135,23919,57,True,0.0,0
0,64.0,0.0,0.0,0,24,1,4.0,59.0,14.1,0.0,0.0,385,0.0,0.0,208,2.0,0,0,3.8,12237.0,14.4,1.0,2017-01-14T12:30:00Z,14 Jan 12:30,0.0,0.0,63,0.0,0.0,19,0,0.0,0,0,4.0,0,21,0,289854,0.0,0.0,2.0,0,4,9.0,6,-2510,15653,18163,57,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,385,0.0,0.0,216,0.0,0,0,0.0,12868.0,0.0,0.0,2017-01-21T17:30:00Z,21 Jan 17:30,0.0,0.0,0,0.0,0.0,10,0,0.0,0,0,0.0,0,22,0,213058,0.0,0.0,0.0,2,2,0.0,0,-77061,1044,78105,56,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,385,0.0,0.0,225,0.0,0,0,0.0,13502.0,0.0,0.0,2017-01-31T19:45:00Z,31 Jan 19:45,0.0,0.0,0,0.0,0.0,15,0,0.0,0,0,0.0,0,23,0,180540,0.0,0.0,0.0,0,0,0.0,0,-32674,597,33271,56,False,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,385,0.0,0.0,238,0.0,0,0,0.0,14145.0,0.0,0.0,2017-02-04T17:30:00Z,04 Feb 17:30,0.0,0.0,0,0.0,0.0,12,0,0.0,0,0,0.0,0,24,0,170776,0.0,0.0,0.0,0,1,0.0,0,-9837,695,10532,55,True,0.0,0
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,385,0.0,0.0,244,0.0,0,0,0.0,14794.0,0.0,0.0,2017-02-11T17:30:00Z,11 Feb 17:30,0.0,0.0,0,0.0,0.0,9,0,0.0,0,0,0.0,0,25,0,161324,0.0,0.0,0.0,0,2,0.0,0,-9550,694,10244,55,False,0.0,0
0,52.0,0.0,0.0,0,27,1,7.0,45.0,22.0,0.0,0.0,385,0.0,0.0,258,1.0,0,0,4.3,15345.0,17.4,2.0,2017-02-26T13:30:00Z,26 Feb 13:30,0.0,0.0,65,0.0,0.0,14,0,0.0,0,0,6.0,0,26,0,164338,0.0,0.0,1.0,0,4,4.0,6,2509,6555,4046,55,True,0.0,0
0,58.0,0.0,0.0,0,14,0,7.0,49.0,2.2,3.0,0.0,385,1.0,0.0,267,0.0,2,0,6.2,16019.0,17.8,0.0,2017-03-05T13:30:00Z,05 Mar 13:30,0.0,0.0,90,0.0,0.0,6,0,0.0,0,0,6.0,0,27,0,163223,1.0,0.0,0.0,2,3,42.0,1,-1355,1872,3227,55,True,0.0,0
0,58.0,0.0,0.0,0,15,0,6.0,50.0,12.4,0.0,0.0,385,0.0,0.0,288,0.0,1,0,3.1,16941.0,16.8,1.0,2017-03-19T14:15:00Z,19 Mar 14:15,0.0,0.0,90,0.0,0.0,13,0,0.0,0,0,4.0,0,29,0,177833,0.0,0.0,0.0,1,2,2.0,2,11858,12745,887,55,True,0.0,0
0,57.0,0.0,0.0,1,29,1,10.0,42.0,0.2,1.0,0.0,385,0.0,0.0,292,0.0,0,0,2.5,17595.0,25.2,0.0,2017-04-01T14:00:00Z,01 Apr 15:00,0.0,0.0,90,0.0,0.0,3,0,0.0,0,0,4.0,0,30,0,200369,0.0,1.0,0.0,2,0,0.0,7,21402,23010,1608,55,False,0.0,0
0,77.0,0.0,0.0,0,16,0,4.0,72.0,2.7,1.0,0.0,385,0.0,0.0,306,2.0,1,0,1.9,18252.0,16.2,0.0,2017-04-05T18:45:00Z,05 Apr 19:45,0.0,0.0,90,0.0,0.0,16,0,0.0,0,0,4.0,0,31,0,214544,0.0,1.0,0.0,3,1,0.0,2,13807,14643,836,56,False,0.0,0
0,71.0,0.0,0.0,0,32,1,6.0,60.0,2.3,3.0,0.0,385,0.0,0.0,318,1.0,0,0,3.2,18913.0,21.8,0.0,2017-04-08T11:30:00Z,08 Apr 12:30,0.0,0.0,90,0.0,0.0,18,0,0.0,0,0,4.0,0,32,0,233238,0.0,2.0,0.0,0,4,8.0,6,18182,20004,1822,56,True,0.0,0
0,100.0,0.0,0.0,1,31,1,7.0,93.0,16.0,1.0,0.0,385,0.0,0.0,328,0.0,0,0,4.3,19575.0,26.8,1.0,2017-04-15T11:30:00Z,15 Apr 12:30,0.0,0.0,90,0.0,0.0,2,0,0.0,0,0,7.0,0,33,0,262741,0.0,0.0,0.0,0,4,0.0,7,28596,32471,3875,57,True,0.0,0
0,74.0,0.0,0.0,1,32,1,6.0,57.0,1.8,0.0,0.0,385,0.0,0.0,274,0.0,0,0,2.6,20312.0,24.6,0.0,2017-04-26T19:00:00Z,26 Apr 20:00,0.0,0.0,90,0.0,0.0,5,0,0.0,0,0,7.0,0,34,0,272218,1.0,4.0,0.0,1,0,0.0,7,8435,14102,5667,57,False,0.0,0
0,56.0,0.0,0.0,2,31,1,4.0,50.0,5.3,3.0,0.0,385,0.0,0.0,348,1.0,0,0,4.3,20978.0,23.6,0.0,2017-04-30T15:30:00Z,30 Apr 16:30,0.0,0.0,90,0.0,1.0,1,0,0.0,0,0,6.0,0,35,0,279326,0.0,1.0,0.0,0,2,14.0,8,6065,11014,4949,57,True,0.0,0
0,63.0,0.0,0.0,0,13,0,2.0,54.0,0.9,1.0,0.0,385,0.0,0.0,360,0.0,1,0,1.4,21693.0,12.8,0.0,2017-05-05T19:00:00Z,05 May 20:00,0.0,0.0,66,0.0,0.0,20,0,0.0,0,0,5.0,0,36,0,308014,0.0,0.0,0.0,0,1,0.0,2,27379,33381,6002,57,False,0.0,0
0,74.0,0.0,0.0,0,21,0,4.0,68.0,12.3,1.0,0.0,385,0.0,0.0,368,0.0,1,0,3.1,22558.0,18.4,1.0,2017-05-14T15:30:00Z,14 May 16:30,0.0,0.0,90,0.0,0.0,11,0,0.0,0,0,9.0,0,37,0,321870,0.0,1.0,0.0,1,2,0.0,2,13010,19264,6254,58,True,0.0,0
0,64.0,0.0,0.0,0,23,0,10.0,54.0,2.4,1.0,0.0,385,0.0,0.0,336,0.0,1,0,3.4,22557.0,31.6,0.0,2017-05-18T18:45:00Z,18 May 19:45,0.0,0.0,90,0.0,0.0,8,0,0.0,0,0,5.0,0,37,0,321870,0.0,3.0,0.0,6,1,0.0,2,13010,19264,6254,58,False,0.0,0
0,60.0,0.0,0.0,0,12,0,4.0,51.0,0.3,1.0,0.0,385,1.0,1.0,374,0.0,1,0,1.0,23390.0,9.8,0.0,2017-05-21T14:00:00Z,21 May 15:00,0.0,0.0,90,0.0,0.0,7,0,0.0,0,0,8.0,0,38,0,345097,1.0,1.0,0.0,7,1,0.0,2,22443,28359,5916,58,False,0.0,0
0,87.0,0.0,0.0,0,28,1,5.0,77.0,11.3,0.0,0.0,380,0.0,0.0,10,0.0,0,0,3.1,380.0,19.4,1.0,2017-08-13T12:30:00Z,13 Aug 13:30,0.0,0.0,90,0.0,0.0,13,0,0.0,0,0,3.0,0,1,0,399943,0.0,1.0,0.0,2,0,0.0,6,0,0,0,60,False,0.0,0
0,82.0,0.0,0.0,0,16,0,4.0,67.0,1.6,2.0,0.0,380,0.0,0.0,19,2.0,2,0,3.7,891.0,23.6,0.0,2017-08-20T15:00:00Z,20 Aug 16:00,0.0,0.0,90,0.0,0.0,5,0,0.0,0,0,9.0,0,2,0,432049,0.0,2.0,0.0,2,1,12.0,0,-6771,8873,15644,60,True,0.0,1
